time,myGold,myElixir,myDarkElixir,myTrophies,myGems,myBuilders
187189,318088,4238446,8992,37,399,0
187315,422753,4286828,9083,,399,0
187375,563616,4299328,9120,,399,0
187385,563616,4299328,9120,,399,0
187427,528104,4029108,9153,130,399,0
187437,524857,4028422,9157,155,399,0
187447,522181,4029211,9160,135,399,0
187457,518970,4030978,9164,121,399,0
187467,578293,4053190,9168,103,399,0
187477,625973,4108588,9171,107,399,0
187487,662093,4141816,9175,53,399,0
187497,672291,4137646,9178,33,399,0
187507,739557,4153848,9182,73,399,0
187517,797702,4295828,9187,31,399,0
187527,807413,4305726,9192,72,399,0
187537,859823,4345678,9197,63,399,0
187547,892324,4367391,9200,63,399,0
187557,920669,4388975,9205,53,399,0
187567,1008574,4472731,9209,50,399,0
187577,1099063,4510753,9214,75,399,0
187587,1111813,4514185,9218,66,399,0
187597,1146108,4515280,9223,57,399,0
187607,1144115,4539429,9227,43,399,0
187617,1143519,4545021,9231,42,399,0
187627,1166610,4550414,9235,34,399,0
187637,1228964,4605479,9239,37,399,0
187647,1227766,4613266,9243,25,399,0
187657,1238021,4616070,9247,21,399,0
187675,1332856,4698925,9254,,399,0
187685,1334377,4711904,9259,,399,0
187695,1334904,4710536,9263,,399,0
187705,1369530,4710471,9266,,399,0
187715,1378632,4726265,9271,,399,0
187725,1377772,4722745,9275,,399,0
187735,1436534,4817397,9279,,399,0
187745,1448823,4813467,9282,,399,0
187755,1451562,4814237,9283,,399,0
187773,1473177,4589748,9295,53,399,0
187783,1520636,4629006,9299,45,399,0
187793,1679939,4699298,9302,43,399,0
187803,1714827,4732095,9307,34,399,0
187813,1729042,4727155,9311,27,399,0
